Sentence,Label,Original_Index
It s not the thumb it s the nail I hate gahhh I can feel it catching and tearing back aaaagh,anger,3
NAME doesn t get a vote NAME Get the fuck out of here with this nonsense,anger,10
Holy crap goddam I m giving morty an A in math,anger,22
i am employed at a petrol station where regrettably some of my colleagues exhibit impolite behavior towards foreign customers in need of fuel leaving me disheartened,anger,24
Oi he got stabbed in the eye,anger,30
really could feel thing felt slightly annoy nurse every time push keep say things like incredibly strong woman strong strong,anger,32
the passing of my father had a profound impact on me  when my biological father reached out to me a year after my fathers demise it further intensified my resentment as i believed he should have been the one to pass away not my beloved father,anger,33
I’m so angry because the app’s interface is broken!,anger,34
Yes What the hell is it with ikea My husband and I don t go together anymore,anger,35
get class eight dance hour nine get home ten lucky eat eat class dance full make feel vile sit around digest etc ish get bed try sleep get unnaturally early,anger,38
i was feeling quite grumpy when ajmed parked the jeep in front of yet another huge rock in the early dusk,anger,39
Agreed rarely get mad at ones like hun or darl Being called boy by an old man however is infuriating,anger,40
"DEAD DUCK INSIDE DO NOT EAT. Well, I’m not sure what I expected.",anger,43
They hated NAME because he told them the truth,anger,44
This sounds familiar But no it will be NAME fault She MADE NAME hurt you for the greater good s,anger,45
i am not hausa but i feel offended especially as the crazy motorcyclist who is now getting up from the ground like nothing happened bears no resemblance to anyone from the north,anger,46
at school when i had a shouting argument with a friend over my  ability to carry out a particular duty in the correct way without  harming her,anger,47
i had arranged with a friend to go with him to carinthia by car  we had arranged a place where to meet i was a bit late and my  friend had left already i had no money to go by train i nearly  started to cry because i was so angry  it was very important for  me to go to carinthia,anger,49
during my time in military service a superior unjustly criticized me resulting in recurring conflicts and tensions,anger,50
my mother treated me unjustly as if i was a little child i said  mean things i was unable to defend myself adequately,anger,56
I’m furious because the app lost my payment info!,anger,59
"The app’s chat support keeps dropping, and I’m beyond irritated!",anger,60
i feel like i had this bitchy undertone the whole convo like kinda sarcastic,anger,64
i had not yet gotten married and that coupled with the pressures of being a senior pastor coupled with the reality of my glaring inexperience made me feel quite stressed,anger,67
i feel petty for saying shes fucked up because technically she doesnt have to get me a gift,anger,68
a drummer who had borrowed my drums destroyed both the drumskin  and the sticks  he did not repair them nor did he tell me about  it,anger,69
It even has a name on it from the original creator you reposting scum,anger,71
Riding your bicycle down Powell is a stupid fucking idea,anger,78
i was feeling a little like a cold was coming on,anger,79
wake feel grouchy irritable feel settle day remove patio small read school book end storm house discover still flush toilet,anger,81
during a dance event someone deliberately punctured my tires and vandalized my car with paint to make matters worse i had four friends with me whom i had offered a ride and it was pouring rain outside fueling my frustration,anger,82
"22 points in 41 games with a pretty shitty Utica squad, first full year in NA... yeah I don’t want another Dahlen debacle",anger,83
I reported an old man for terrible driving and the police actually took it seriously pleasantly surprised It s worth a try,anger,86
I m leaving to go get some more motherfucking jokes MOM NAME,anger,88
YEAH How dare he ask if you were feeling ok,anger,89
"In reality the kid said: “fuck off noob, Genji grandmaster main here boiii”",anger,93
i feel mad that you grabbed the toy,anger,94
my brother accused me undeservedly before my parents i was not  guilty he was misled by his wife,anger,95
oh shitttt it s upside down,anger,96
And suck this guy off at the same time,anger,98
Shoutout to my fellow retail workers stuck working on third shift during New Years,anger,103
i didn t wish to be the president i hardly know these people and i got the feeling that they hated me for being quiet and not smiling,anger,105
I might be a prude Suck him off in the bathroom of your friend s home Those don t equate,anger,113
Really rude move to do that in the rest room though.,anger,114
Don t make fun of the cancer kid,anger,119
I m NAME and I ll leave you with what we all came here to see NAME,anger,122
witnessing unfair behavior such as the act of forcefully pushing others in a crowded bus left me with a profound sense of frustration,anger,125
i didn t want to tell him because arun has these single line solutions to all my problems that leave me feeling extremely dissatisfied,anger,128
once again my parents undermined a relationship generating a profound sense of frustration,anger,130
i generally don t eat a lot of junk it is mostly stress eating but as i become more comfortable with the child care i am feeling less stressed and eating less junk,anger,135
Hate them I really don t need to hear about you pissing your pants in the first grade,anger,136
Get your feet off the table,anger,137
seeing for the first time pictures about the so called  treatment of jewish people in nazigermany during world war ii,anger,142
my flatmate was asking questions about my relationship with my  boyfriend whether i wasnt treating him as unfairly as i claimed  hed been treating me as a result i was angered and became  defensive,anger,143
Congrats on the mild success of your stolen story,anger,146
i was snapping at everybody and feeling very grumpy in general,anger,148
"The app overcharged me, and I’m beyond livid!",anger,151
my frustration grew when my boyfriend spent hours into the night engrossed in playing computer games with a friend instead of giving our relationship the attention it deserved,anger,153
> She fucked my bumper up and I will forever hate her And her insurance didnt repair it because???,anger,154
The app’s payment error lost my purchase!,anger,156
engaging in a heated disagreement with a classmate fueling a surge of frustration and conflict,anger,157
i feel so so tortured by looking at the lecture notes and nothing is going in except for my holiday plans,anger,160
observing oneself toiling tirelessly while witnessing the idle presence of slackers meandering about evokes a simmering frustration,anger,161
feel pretty cranky morning stop really make feel lot better,anger,162
He was aggrieved that people didn’t recognize him and recognized steroid users instead.,anger,174
certain friend try push seat violent way apparent reason may excite something,anger,176
NAME not calling anything so far Means they will call everything second half It s inevitable,anger,178
mean someone write fanfiction book make villain gay say druian sit read feel furious,anger,179
a friend whom i had gone out of my way to do something for did  not bother to acknowledge my efforts and treated me badly  thereafter,anger,180
Could you imagine the outrage if Canada rescued one of our citizens from the Saudi courts,anger,189
despite being on vacation and unable to attend a daycare center meeting i received an early morning call upon my return questioning my course of action regarding a matter that had been discussed the unjust expectation ignited a sense of frustration within me,anger,190
It was SO hard to click the upvote button on this one. Its one of those I hate it. Well done moments.,anger,191
Holy fuck dude Use the mute button Your feelings were hurt with one message now click it thanks _,anger,194
Where are NAME and NAME Time to kick some butts,anger,196
i took a minute to appreciate the trees around me and the calming energy that they gave me at a time when i was feeling a little bit irritable,anger,198
Man that dude seems to be having a blast at the character select screen I m so hyped where do I sign up,anger,199
Fuck it im paying the premium 15 risk in not getting your money is quite high,anger,201
amidst a heated family discussion concerning my future prospects and financial responsibilities accusations of indifference and a lack of initiative in securing employment to address my monetary situation evoke a stirring sense of frustration underscoring the importance of voicing my aspirations and intentions,anger,204
i feel like the most hated person on the planet for turning brendon down,anger,207
I moved to Canada in 2001 from the middle east I m still not used to it I hate cold,anger,209
"Oh, when you were an infant you wanted to be around me ALL THE TIME! Your evil wife must be why you changed!",anger,210
i feel a bit pissed off because we went first,anger,211
i get really sweaty during these episodes and my stomach will feel really funny like i m free falling,anger,220
feel annoy fact three weeks chemotherapy get annoy pinch niggle back,anger,221
Unsurprisingly our closest competitors will try to capitalise as we stumble Good luck to them we have brought this on ourselves,anger,226
im feeling stressed about upcoming events drowning in feelings of being overwhelmed with how much i need to do in order to get my house back in order and the long week i have ahead of me that my husband will be out of town,anger,228
"The app’s server is down, and I can’t post my review!",anger,229
i know what it feels like he stressed glaring down at her as she squeezed more soap onto her sponge,anger,231
we lived with  persons in the loft of a house it often occurred  that other persons again and again climbed the stairs with much  noise when i was studying i couldnt concentrate and got angry,anger,238
ive been feeling vaguely dissatisfied with reel pros since i signed up a few weeks ago,anger,247
Is it cruel to give your kids medicine when they don t know what it is and why if they need it,anger,253
start two days ago sound sensitivity little start feel almost like motion movements start smell sensitivity luckily bother since last night,anger,254
ive realized over the last few months that i generally tend to feel tremendously dissatisfied after having sex with him,anger,267
i cooked the engine in my fathers car  it was actually his  fault because he hadnt fixed the temperature gauge or told me  when i finally got home i was absolutely screamed at and the  anger i experienced was over the injustice of it all plus the  huge row which developed,anger,271
when individuals invade my personal space without permission and tamper with my belongings i find myself grappling with a mix of frustration and disappointment,anger,272
"Why the fuck would you go for pizza, subs or pork rolls in texas?",anger,275
a surge of frustration coursed through me as our religion teacher presented alarming sectarian ideologies and propagated apocalyptic doctrines as official teachings,anger,278
I’m so angry because the app’s glitch ruined my plans!,anger,286
when i could not reason my friend it angered me,anger,287
I had smoothies in the past with these packets Solid as fuck Dragonfruit one too,anger,288
Mental games Take a mental shot everytime the teacher mispronounces a word or messes up grammatically,anger,291
i started to feel cold like symptoms of light nausea cough and tiredness,anger,294
I dropped him around week 6 and let somebody else deal with that headache,anger,296
If push comes to shove the easy alternative is you show up for work and take up space but don t actually perform your job,anger,298
witnessing the lack of responsibility and interest displayed by my peers in our working group stirred a profound sense of frustration within me,anger,305
i dropped off the script and left feeling dissatisfied with myself,anger,310
FIRE THE MEDICAL TEAM,anger,311
I’m so mad because the app’s payment system is trash!,anger,314
"Seattle has both, and is building a huge extension to the existing light rail system. Traffic is still absolutely fucked.",anger,315
They were not really messing around just more frustrated They genuinely were trying to move specialists around to get the best out of people,anger,325
I cant stand being with you any more . Im sick of your drinking .,anger,327
i feel pride that i don t have to buy a roll of quarters from the bodega on the corner and this feeling is the only thing that keeps me from being irate that our laundry room is oddly devoid of coin changer machines,anger,328
NAME WE MUST BUILD THE GREEN WALL,anger,332
BUT IT WOULD HAVE TAKEN THEM LIKE TWO SECONDS TO HELP HIM GET OUT REALLY This show makes me angry sometimes,anger,337
This team needs to tighten up in the third Absolutely brutal,anger,341
Yeah I don t think NAME wants you to fuck my wife his girlfriend anymore you cuck,anger,348
when someone took my things without having asked for my  permission,anger,350
when in a difficult moment i couldnt express myself correctly  and my thought came out with distortions bringing about highly  negative and distorted results,anger,354
Honestly I bet they would argue that the food was out of the car so you re not covered,anger,355
i bought a new bed for my apt and it squeaks when you move on  it i tried to fix it but could not,anger,356
sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger,362
i can still feel my legs and they get so cold,anger,364
i used to be able to hang around talk with the cashier when i was putting away my money now i feel rushed and stressed if i take a second to fumble with the coins and put them in my purse,anger,366
the passing of my beloved grandfather elicited a complex mix of emotions encompassing both sorrow and a tinge of frustration in the face of loss,anger,375
on my graduation night my boyfriend chose not to dance with me believing i could find solace in the company of my friendly friends on the dance floor although i tried to brush it off a twinge of disappointment subtly lingered within,anger,379
We ve been linking that dodgy as hell Ukrainian site for years so go nuts,anger,384
All these women are going to have a tough time supporting each other while they explain to the American public why their competitors are unqualified,anger,386
I still hated the system though I felt penalized for using anything that wasn t the power beam the entire game,anger,390
i bought a virtually fat free thousand islands and feeling very impressed with myself hold large quantities of this substance on the leaves of lettuce and cucumber with my friend but it will be total sugar becomes if you do not burn fat,anger,392
That comparison system could backfire when hogs see their 83rd percentile healing and go what the fuck were our healers doing I have 83rd percentile healing,anger,393
when i encountered not only with my fathers lack of  understanding but also with his unwillingness to understand me as  a parent as far as things for which i not he have proves to be  right are concerned,anger,395
Get in touch with a lawyer No one in Reddit can answer this Throwing her out really would be better,anger,397
My Goddess went to prison and all I got was this crappy t shirt,anger,398
when a person the same age as me insisted that i call him  mister  i refused to succumb but he persisted and i got angry  as he had belittled me,anger,399
You would think so huh Not the first dude who has tried to use that rationale The first one I dated though,anger,401
as part of my work responsibilities i willingly undertook an errand for an individual who lacked the authority to assign me such tasks the address provided turned out to be incorrect rendering the entire journey futile and amplifying a sense of frustration,anger,407
i remember is the feeling of falling and miyavi s shocked face,anger,411
in the presence of the girl i truly cherish i experienced a sense of disappointment when she declined my invitation to a gathering due to residing in a different town,anger,414
i feel resentful toward my wife when weeks go by without sex,anger,423
when our cat was killed in a caraccident i was very angry at the  driver of the car because he didnt take enough care,anger,425
They arrested me without probable cause .,anger,427
i wanted to clear up a misunderstanding with a friend that i had  caused a third person meddled in our conversation turned my  efforts to ridicule so that i did not succeed in what i had  intended,anger,429
Love the almost sharingan look he gets in his eyes right before the attempt O O I CAN SEE,anger,430
Fuck man I didn’t plan on crying in my cube today,anger,433
i saw in a movie a block on which affluence and poverty existed  i saw that the rich made no attempts to help the poor,anger,436
i am also feeling a bit bitchy about the way things are when we have conversations and others are around,anger,446
know feel impatient cause ask question mine wait answer,anger,448
Drive thru is the worst. The number of times people would sneeze in my face at the window was infuriating.,anger,451
I m with you pulju has been looking dangerous lately,anger,459
Looks like you clipped my own games It s bad lately,anger,461
i have a feeling that she is going to be very annoyed with me by the end of the race because i am going to be more interested in taking pictures than paying attention to pace,anger,465
i felt anger when at the end of a telephone call a good friend  told me that she would go to travel next year with another good  friend we couldnt talk this out,anger,469
upon discovering that three pieces of my puzzle had gone missing at home i couldnt help but feel a surge of frustration,anger,471
im sorry im feeling a little bitchy tacky looking women came in and sat next to me,anger,472
within the confines of our schools audiovisual room engrossed in a film my tranquil experience was disrupted by the incessant mockery and physical jostling perpetrated by two classmates seated directly behind me incensed by their behavior i instinctively responded with force striking one of them,anger,473
"I am not cheating . When you pass go , you collect $ 200 , Everyone knows that !",anger,474
being subject to unfair treatment in a working group someone  bending the rules was protected by the boss this resulted in  more work for the others,anger,475
I’m furious because the app’s interface is a total mess to navigate!,anger,482
i endured a gynecological ailment and it greatly distressed me to discover that my roommates had been discussing it albeit with a distorted representation of the truth learning that it was done by someone i considered a good acquaintance deeply wounded me,anger,483
Fucking hell! Ive been out there protesting orange people all this time. I need funding for new signs!,anger,484
in a very important basketball match where a lot was at stake i  played very badly,anger,485
even deep feel alaska cold snowy yet big open land pine tree mountains destine live southern california,anger,486
im starting to think we may need to have to put a big sign on our door telling them so at least that would save me from feeling rude,anger,489
Move bitch get out the way.,anger,490
i thought breaking up with my best friend of years would make me bitter and feel hateful towards her,anger,491
Or finishing in 91 minutes and sitting there for another half hour bursting for a piss,anger,497
Because in some cases parents are basically having their own children kidnapped and held against their will and forced into these programs This is child abuse,anger,500
Lifesite News doxxed him That website is just pure hatred distilled it s disgusting,anger,502
i had an implicit agreement with my sister about meeting her  however she had not understood the situation the same way so she  did not turn up,anger,512
Wow that really hurts coming from a demented troll sockpuppets brigading me on this sub,anger,513
when after drinking a glass of water i found a cockroach walking  out of the glass,anger,515
"Fuck it, maybe the faceless men worship the great other AND assassinated the fire warlocks in valyria, hwo knows?",anger,517
clean apartment try get life back order vacation holiday mayhem instead feel grumpy like usually would feel overwhelmingly bless,anger,518
I ve invested 9 goddamn years watching these twits I m going down with the ship,anger,523
i felt out of control i hated myself for feeling it then felt more out of control hated myself for hating that i hated it and it just got worse until i was walking to work in a haze trying to not curl up on the pavement and just,anger,526
"The app’s support never replied, and I’m livid!",anger,529
"No, stop! Hell stop cranking the job machine if you insult him again!",anger,534
brother provoked anger it was when mother and father were away  and we had to look after ourselves he accused me of being  selfish and a snob,anger,536
i almost feel too stubborn to come back as i said that i was leaving,anger,541
"Im always worrying about the same thing, thats why Im always posting and within hours freaking out and deleting my posts",anger,543
i can not drop this class because then i lose the financial aid for not having enough credits plus i feel like a quitter and im too stubborn for that,anger,544
i look around at the people around me and i feel almost slightly envious about how they have a way of motivating themselves sitting down and studying so hard,anger,548
i remember feeling a little jealous and realized that our time together wasnt solely about me but that he has a larger network of social interactions all ready in progress before i got there,anger,558
lol instead of getting blocked he deleted his account and called us all soulless and depraved,anger,563
witnessing the unjust accusation made by my father towards my brother regarding a car collision igniting a mixture of frustration and disappointment,anger,566
within my apartment there sat a sofa that had been left behind by the previous tenants who happened to be acquaintances they had made plans to retrieve it a year ago constantly postponing the arrangement finally they settled on a specific date prompting me to alter my plans and stay home despite having other pressing matters to attend to however they neither arrived nor communicated their absence and to this day they have not reached out leaving me with a lingering sense of frustration,anger,567
I got grounded from reading once and it was the worst punishment I ever had,anger,568
i am feeling a little stressed as aaron has friends over for a sleep over,anger,577
getting a low grade on my physics midterm,anger,579
id done that though it kind of did a on me and i found myself sympathizing with the demons as the church called them and feeling more disgusted with the people who were supposed to be trying to fight them off,anger,597
i wake up feeling cranky and out of sorts,anger,601
"Your mom is putting actual effort into having a relationship with you, you insufferable donut.",anger,604
No no forms or anything I was pleading with them not to go and it seemed surreal that I was being forced to go,anger,607
NAME that poor man just cut em off,anger,610
despite providing accurate answers and demonstrating a solid understanding of the material i received a disappointing grade on a midterm seeking to rectify the situation i approached the teaching assistant in hopes of appealing for a higher grade only to be met with an unyielding refusal a tinge of frustration permeated my thoughts,anger,613
i did not care much about the number of viewers and the viewer ratings before but as the drama iris gained huge success i began to feel greedy,anger,618
at an office an application that i had made was turned down  because of a scrupulous interpretation of the rules,anger,623
>lox is optional How dare you put  in your flair! How dare you.. Mods! Mods! Apprehend this impostor!,anger,626
i woke up this morning feeling very agitated at the day coming,anger,629
see i m over here thinking i hate sports now if you could just take my balls and go home,anger,635
You already used that one my abusive buddy,anger,640
my parents didnt allow me to go to a social function that all my  friends were attending,anger,642
i didnt feel the cold up there because we had a fire every night,anger,646
i love rocking her to sleep at nap time during the day and not feeling rushed or exhausted,anger,648
Huh our foster loves being snuggled in a blanket but our dog we ve had for 6 years hates being covered,anger,651
i reached the bus stop and realized that i had forgotten my bus  pass,anger,652
the delay in my fathers return from chipata knowing that his presence was crucial for progress ignited a simmering frustration within me questioning his actions,anger,655
Just the ones who jump on my car So far that s no one but who knows what the future will hold,anger,656
I ve removed your post for witch hunting Please be mindful of that in the future,anger,663
a higher status colleague of mine despised my attitude and  organization of work,anger,667
That s the worst urinal ever,anger,670
Lol the fact that actual fans can t afford tickets is why there are let s go heat chants at this game,anger,671
THAT S WHAT YOU GET WHEN YOU FIND A STRANGER IN THE ALPS,anger,672
I just housed a transgender person for a few months after she came out to her parrents So people are so cruel,anger,673
Yeah We should have given him justice by believing in claims with no merit Yeah Btw NAME raped me 30 years ago Get him,anger,674
What s worse is using self destruct without the pilot DLC You just die,anger,677
It s soccer He was faking the injury anyway,anger,678
sorry really bad cold feel bitchy cos never get drink stupid best friends tonight,anger,683
"The app wouldn’t submit my form, and I missed a deadline!",anger,688
i still try to force myself to do some even if i m feeling irritable withdrawn and quiet at the time,anger,690
betrayed by a supposed friends attempt to slander me with baseless accusations i found myself questioning the authenticity of our friendship,anger,693
i could barely leave the house and i was feeling a lot of isolation and i hated the lack of control i had over my own life because everyone else i knew was moving on with theirs,anger,695
Oh look it s wr2 proceeds to get fucked,anger,698
awful vehicle physics that cause you to instantly die when hitting small bumps and certain angles WHY,anger,699
"That  s what you said the last time ! If you want to smoke , you  ll have to use your break time and go outside !",anger,704
feel really petty immature want cheat greg end break fight stupid little things,anger,707
i feel this feeling when i am to fill in a questionnaire or a  form,anger,710
Understood - PM was all gears and no downtime. Last thing I would want is another bloody job like that. Cheers,anger,712
i feel like i had so much to write then got distracted by my home on a wednesday evening challenge and have therefore lost my train of thought,anger,715
i ran errands to buy cora a few newborn sized sleepers i had not previously made any newborn sized babies and went out to lunch to celebrate how great i was feeling i feel amazing no pain no pain meds and moving around almost completely normally at days out,anger,716
the necessity of contacting the telephone company regarding an overdue bill for my landlords disconnected phone which he had been using without intention to rectify stirred up a surge of frustration within me,anger,718
my best friend at school told lies about me to a boy i was seeing  and went out with him herself,anger,719
walk away feel dissatisfy like wait caffeine hit get decaf,anger,722
I hate when MoonWolf1-799 is taken.,anger,723
Can we get a moment of silence for the passing of the video game boy,anger,724
Yep first hour free at long term But if you go a SECOND over that you owe them 19 80 They re fucking ruthless,anger,725
start secondary school age every night would cry lose sleep think school next day usual feel bother school,anger,727
when i was accused by my brother of having stolen a  kwatcha  note from my mothers bag  i was beaten up for this the money  was found later,anger,738
Dont worry guys its all sanitary He hit the wrench with some WD40 before he started,anger,739
i compare it to mine i feel irritated but i tried to be realistic to calm my self down,anger,741
when i get home late my father scolds me and this makes me angry,anger,742
i was feeling pretty cranky and down and all i could think of what how much better i feel when i cut my hair off,anger,743
due to my own oversight i unintentionally locked myself out evoking a fleeting moment of frustration as i navigated the consequences of my forgetfulness,anger,745
when i saw a man hitting a child of  years without any consideration  simply because the child had been leaning against a window,anger,746
I recommend this I read the WN and it fucked up my English for months English is my second language,anger,754
i have to find myself sitting in front of the consultant feeling furious and increasingly upset at her patronising refusal to allow me to make a choice over the kind of birth i wanted,anger,755
Oh sh t guys I got banned,anger,757
i feel frustrated sometimes with my mac lipsticks when i have to read names or open each of them to select shade,anger,764
i really could not feel a thing and i felt slightly annoyed at the nurse who every time i pushed kept saying things like you are an incredibly strong woman be strong be strong,anger,767
That one pesky drop of water was in it for the long haul,anger,769
i have really come up against some intense struggles since moving in here and i have to say i am very proud at the way we are giving each other the respect to feel however we need to feel mad stressed whatever and yet we still pull together to fix the issue,anger,770
in ward a was an epileptic patient who was burnt the whole body and was stinking very much such that the whole ward was affected few people could come near him,anger,772
The bourgeoisie elected courts were going to backtrack on all NAME economic reforms Fuck those guys,anger,773
I m saying NAME is the pretentious one and that the original commenter s response to him is a perfect mockery of the asshole,anger,774
I’m livid because the app rejects my valid card!,anger,776
already feel atmosphere around seem dangerous,anger,777
i was waiting to receive the participation on the profits and did  not receive it,anger,778
im not feeling pissed off about picking up those toys,anger,780
"The app didn’t load my ticket, and I missed my event!",anger,781
feel little grumpy think everything need get flip around way well ready roll sleeves write list get work,anger,784
i feel like waiting for you to be online and you didnt makes me furious,anger,786
Why was nobody driving the damn thing They were all in the backseat,anger,787
Oh fuck off Soooo when is NAME and the gang going to un mask NAME as President NAME,anger,788
my employer took too many aspirins for a bad back and also drank  an enormous amount of spirit  this was dangerous  and he did  not understand that he had done anything wrong,anger,790
Yes! What the hell is it with ikea? My husband and I don’t go together anymore.,anger,791
i stopped feeling bitter and sorry for myself and lost myself in the work my work started getting better or rather continued to get better,anger,795
He needed to have sex with NAME to complete his mission duh,anger,796
Dont you know? We have to just shut up and put our heads down until they decide!,anger,797
following a lengthy journey in my fathers van without any mishaps i inadvertently dented the side of the vehicle against a pole while refueling to add to the frustration the cars electrical system malfunctioned when i attempted to drive home from his house,anger,799
